"x"
"Laboratoire";"Laboratoire"
"CIP7";"CIP7"
"CIP13";"CIP13"
"CIS";"CIS"
"DCI";"DCI"
"Spécialité";"Specialite"
"Présentation";"Presentation"
"Forme";"Forme"
"Dosage";"Dosage"
"Nombre d'unité par boîte";"Unites"
"Stock à date (boîtes)";"Stock"
"Ventes J-1 (boîtes)";"Ventes J-1"
"Consommation mensuelle usuelle (hopital+ville) avant la crise COVID-19";"Conso usuelle"
"Approvisionnements à venir S15 (boîtes)";"Appro S15"
"Approvisionnements S16 (boîtes)";"Appro S16"
"Approvisionnements S17 (boîtes)";"Appro S17"
"Approvisionnements S18 (boîtes)";"Appro S18"
"Approvisionnements S19 (boîtes)";"Appro S19"
"Approvisionnements S20 (boîtes)";"Appro S20"
"Approvisionnements S21 (boîtes)";"Appro S21"
"Commentaires";NA
"Consommation Mensuelle Ville (boîtes)";NA
"Consommation Mensuelle Hôpital (boîtes)";NA
"Ventes Semaine 14 (boîtes)";NA
"Approvisionnement S15 (boîtes)";"Appro S15"
"Approvisionnement S16 (boîtes)";"Appro S16"
"Approvisionnement S17 (boîtes)";"Appro S17"
"Approvisionnement S18 (boîtes)";"Appro S18"
"Approvisionnement S19 (boîtes)";"Appro S19"
"Approvisionnement S20 (boîtes)";"Appro S20"
"Approvisionnement S21 (boîtes)";"Appro S21"
"Code Baxter";NA
"Approvisionnements S22 (boîtes)";"Appro S22"
"Approvisionnements S23 (boîtes)";"Appro S23"
"Ventes S-1 (boîtes)-S14";NA
"Ventes J-1 (boîtes) 09/04/2020";NA
"Ventes Semaine 13 (boîtes)";NA
"Approvisionnement S14 (boîtes)";"Appro S14"
"Ventes Semaine 13 (boîtes)* Ventes cumulées au 31/03/20";NA
