"DCI";"DCI.Corrigée"
"(S)-MALATE DE CABOZANTINIB";"CABOZANTINIB"
"ACÉTATE D'ATOSIBAN";"ATOSIBAN"
"ACÉTATE DE FLUDROCORTISONE";"FLUDROCORTISONE"
"ADRÉNALINE";"ADRÉNALINE"
"ALFENTANIL (CHLORHYDRATE D')";"ALFENTANIL"
"AMBRISENTAN";"AMBRISENTAN"
"AMOXICILLINE SODIQUE";"AMOXICILLINE"
"AMOXICILLINE SODIQUE;CLAVULANATE DE POTASSIUM";"AMOXICILLINE;ACIDE CLAVULANIQUE"
"AMOXICILLINE SODIQUE;POTASSIUM (CLAVULANATE DE)";"AMOXICILLINE;ACIDE CLAVULANIQUE"
"AMOXICILLINE TRIHYDRATÉE";"AMOXICILLINE"
"AMOXICILLINE TRIHYDRATÉE;CLAVULANATE DE POTASSIUM";"AMOXICILLINE;ACIDE CLAVULANIQUE"
"AMOXICILLINE TRIHYDRATÉE;CLAVULANATE POTASSIQUE";"AMOXICILLINE;ACIDE CLAVULANIQUE"
"AMOXICILLINE TRIHYDRATÉE;POTASSIUM (CLAVULANATE DE)";"AMOXICILLINE;ACIDE CLAVULANIQUE"
"ATAZANAVIR (SULFATE D')";"ATAZANAVIR"
"ATOSIBAN (ACÉTATE D')";"ATOSIBAN"
"ATRACURIUM (BÉSILATE D')";"ATRACURIUM"
"ATROPINE (SULFATE D')";"ATROPINE"
"AVIBACTAM SODIQUE;CEFTAZIDIME PENTAHYDRATÉE";"AVIBACTAM;CEFTAZIDIME"
"AZATHIOPRINE";"AZATHIOPRINE"
"AZITHROMYCINE DIHYDRATÉE";"AZITHROMYCINE"
"AZITHROMYCINE MONOHYDRATÉE";"AZITHROMYCINE"
"AZTRÉONAM";"AZTRÉONAM"
"AZTRÉONAM DE LYSINE";"AZTRÉONAM"
"BASILIXIMAB";"BASILIXIMAB"
"BÉLATACEPT";"BÉLATACEPT"
"BÉSILATE D'ATRACURIUM";"ATRACURIUM"
"BÉSILATE DE CISATRACURIUM";"CISATRACURIUM"
"BOSENTAN MONOHYDRATÉ";"BOSENTAN"
"BROMURE DE PYRIDOSTIGMINE";"PYRIDOSTIGMINE"
"BROMURE DE ROCURONIUM";"ROCURONIUM"
"CARBÉTOCINE";"CARBÉTOCINE"
"CÉFÉPIME (DICHLORHYDRATE DE) MONOHYDRATÉ";"CÉFÉPIME"
"CÉFOTAXIME SODIQUE";"CÉFOTAXIME"
"CÉFOXITINE SODIQUE";"CÉFOXITINE"
"CEFTAZIDIME PENTAHYDRATÉE";"CEFTAZIDIME"
"CEFTRIAXONE DISODIQUE";"CEFTRIAXONE"
"CEFTRIAXONE DISODIQUE HÉMIHEPTAHYDRATÉ";"CEFTRIAXONE"
"CEFTRIAXONE SODIQUE";"CEFTRIAXONE"
"CEFTRIAXONE SODIQUE ANHYDRE";"CEFTRIAXONE"
"CHLORHYDRATE D'APOMORPHINE";"APOMORPHINE"
"CHLORHYDRATE D'APOMORPHINE HÉMIHYDRATÉ";"APOMORPHINE"
"CHLORHYDRATE DE CIPROFLOXACINE";"CIPROFLOXACINE"
"CHLORHYDRATE DE CIPROFLOXACINE;DEXAMÉTHASONE";"CIPROFLOXACINE;DEXAMÉTHASONE"
