"CIP7";"Forme_long";"DCI_long";"Laboratoire";"CIP13";"CIS";"Specialite";"Presentation";"Stock";"Ventes.S.1";"Conso.usuelle";"Appro.S15";"Appro.S16";"Appro.S17";"Appro.S18";"Appro.S19";"Appro.S20";"Appro.S21";"Date";"Ventes.J.1";"Appro.S22";"Appro.S23";"Ventes.mensuelles";"DCI";"Forme";"Dosage_wrong";"Unites_wrong";"Dosage";"Unites";"Dose_mg";"Equiv_Factor";"Stock_U";"Ventes.J.1_U";"Stock_U_equiv"
1000007;"émulsion injectable/pour perfusion";"PROPOFOL";"BAXTER SAS";"34009 550 017 0 6";"63558577";"PROPOFOL BAXTER 10 mg/ml, émulsion injectable/pour perfusion/AIN00618";"20 ml en flacon (verre). Boîte de 5.";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"PROPOFOL";"Forme injectable";"10mg/mL;20mL";5;"10mg/mL;20mL";5;200;1;0;NA;0
1000008;"émulsion injectable/pour perfusion";"PROPOFOL";"BAXTER SAS";"34009 550 017 2 0";"63558577";"PROPOFOL BAXTER 10 mg/ml, émulsion injectable/pour perfusion/AIN00619";"50 ml en flacon (verre). Boîte de 1";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"PROPOFOL";"Forme injectable";"10mg/ml;50mL";1;"10mg/ml;50mL";1;500;2.5;0;NA;0
1000009;"émulsion injectable/pour perfusion";"PROPOFOL";"BAXTER SAS";"34009 550 017 5 1";"63558577";"PROPOFOL BAXTER 10 mg/ml, émulsion injectable/pour perfusion/AIN00471";"100 ml en flacon (verre). Boîte de 1.";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"PROPOFOL";"Forme injectable";"10mg/mL;100mL";1;"10mg/mL;100mL";1;1000;5;0;NA;0
1000010;"émulsion injectable/pour perfusion";"PROPOFOL";"BAXTER SAS";"34009 550 017 7 5";"66093051";"PROPOFOL BAXTER 20 mg/ml, émulsion injectable/pour perfusion /AIN00620";"50 ml en flacon (verre). Boîte de 1";0;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"PROPOFOL";"Forme injectable";"20mg/mL;50mL";1;"20mg/mL;50mL";1;1000;5;0;NA;0
2160908;"solution injectable";"INTERFERON BETA-1A";"BIOGEN FRANCE SAS";"3400921609080";"66674494";"AVONEX 30 microgrammes/0,5 ml, solution injectable, en stylo prérempli";"4 seringue(s) préremplie(s) en verre de 0,5 ml dans stylo pré-rempli";5078;"178";"1868";NA;NA;NA;NA;NA;NA;"4680";2020-05-04;NA;NA;NA;NA;"INTERFÉRON BÊTA-1A";"Forme injectable";"0,030mg";4;"0,030mg";4;0.03;3.40909090909091;20312;NA;69245.4545454545
2160908;"solution injectable";"INTERFÉRON BÊTA-1A";"BIOGEN FRANCE SAS";"3400921609080";"66674494";"AVONEX 30 microgrammes/0,5 ml, solution injectable, en stylo prérempli";"4 seringue(s) préremplie(s) en verre de 0,5 ml dans stylo pré-rempli";7856;"799";"2568";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;NA;NA;"INTERFÉRON BÊTA-1A";"Forme injectable";"0,030mg";4;"0,030mg";4;0.03;3.40909090909091;31424;NA;107127.272727273
2162474;"solution pour pulvérisation";"CITRATE DE FENTANYL";"TAKEDA FRANCE SAS";"3400921624748";"68846206";"INSTANYL 50 microgrammes, solution pour pulvérisation nasale en récipient unidose";"6 flacon(s) pulvérisateur(s) unidose(s) en verre polypropylène avec fermeture de sécurité enfant";12765;"691";"283";NA;NA;NA;NA;"14870";NA;NA;2020-04-15;NA;NA;NA;NA;"FENTANYL";"Forme inhalable";"0,050mg";6;"0,05mg";6;0.05;1;76590;NA;76590
2162511;"solution pour pulvérisation";"CITRATE DE FENTANYL";"TAKEDA FRANCE SAS";"3400921625110";"63202353";"INSTANYL 100 microgrammes, solution pour pulvérisation nasale en récipient unidose";"6 flacon(s) pulvérisateur(s) en verre polypropylène";15360;"878";"189";NA;NA;NA;NA;NA;NA;"15150";2020-04-15;NA;NA;NA;NA;"FENTANYL";"Forme inhalable";"0,100mg";6;"0,100mg";6;0.1;2;92160;NA;184320
2162557;"solution pour pulvérisation";"CITRATE DE FENTANYL";"TAKEDA FRANCE SAS";"3400921625578";"65154747";"INSTANYL 200 microgrammes, solution pour pulvérisation nasale en récipient unidose";"6 flacon(s) pulvérisateur(s) en verre polypropylène";14060;"920";"149";NA;NA;NA;NA;NA;"15310";NA;2020-04-15;NA;NA;NA;NA;"FENTANYL";"Forme inhalable";"0,200mg";6;"0,200mg";6;0.2;4;84360;NA;337440
2179606;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400921796063";"61491578";"NICOTINELL FRUIT EXOTIQUE 2 mg, gomme à mâcher médicamenteuse";"plaquette(s) PVC PVDC aluminium de 96 gomme(s)";4574;"174";"1223";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"NICOTINE";"Gomme";"2mg";96;"2mg";96;2;1;439104;NA;439104
2179606;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400921796063";"61491578";"NICOTINELL FRUIT EXOTIQUE 2 mg, gomme à mâcher médicamenteuse";"plaquette(s) PVC PVDC aluminium de 96 gomme(s)";4831;"162";"724.166666666667";NA;NA;NA;"0";"0";"0";"0";2020-04-23;NA;"0";"0";NA;"NICOTINE";"Gomme";"2mg";96;"2mg";96;2;1;463776;NA;463776
2179606;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400921796063";"61491578";"NICOTINELL FRUIT EXOTIQUE 2 mg, gomme à mâcher médicamenteuse";"plaquette(s) PVC PVDC aluminium de 96 gomme(s)";4831;"162";"724.166666666667";NA;NA;NA;"0";"0";"0";"0";2020-04-15;NA;"0";"0";NA;"NICOTINE";"Gomme";"2mg";96;"2mg";96;2;1;463776;NA;463776
2179612;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400921796124";"61491578";"NICOTINELL FRUIT EXOTIQUE 2 mg, gomme à mâcher médicamenteuse";"plaquette(s) PVC PVDC aluminium de 204 gomme(s)";0;NA;"2467";NA;NA;NA;NA;NA;NA;NA;2020-05-04;NA;NA;NA;NA;"NICOTINE";"Gomme";"2mg";204;"2mg";204;2;1;0;NA;0
2179612;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400921796124";"61491578";"NICOTINELL FRUIT EXOTIQUE 2 mg, gomme à mâcher médicamenteuse";"plaquette(s) PVC PVDC aluminium de 204 gomme(s)";0;"0";"834.666666666667";NA;NA;NA;"0";"0";"0";"0";2020-04-23;NA;"0";"0";NA;"NICOTINE";"Gomme";"2mg";204;"2mg";204;2;1;0;NA;0
2179612;"gomme à mâcher médicamenteux(se)";"NICOTINE POLACRILEX";"GLAXOSMITHKLINE SANTE GRAND PUBLIC";"3400921796124";"61491578";"NICOTINELL FRUIT EXOTIQUE 2 mg, gomme à mâcher médicamenteuse";"plaquette(s) PVC PVDC aluminium de 204 gomme(s)";0;"0";"834.666666666667";NA;NA;NA;"0";"0";"0";"0";2020-04-15;NA;"0";"0";NA;"NICOTINE";"Gomme";"2mg";204;"2mg";204;2;1;0;NA;0
2181170;"comprimé pelliculé";"AZITHROMYCINE DIHYDRATEE";"TEVA SANTE";"3400921811704";"68654914";"AZITHROMYCINE TEVA 250 mg, comprimé pelliculé";"plaquette(s) thermoformée(s) PVC aluminium de 6 comprimé(s)";86817;"11732";"20679.75";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"AZATHIOPRINE";"Forme orale sèche";"250mg";6;"250mg";6;250;1;520902;NA;520902
2187959;"solution injectable";"CHLORHYDRATE DE MORPHINE";"LABORATOIRE RENAUDIN";"3400921879599";"63521785";"MORPHINE (CHLORHYDRATE) RENAUDIN 10 mg/ml, solution injectable";"1 poche(s) de 100 ml polypropylène polyoléfine à 2 tubes, l'un avec un Twist-off l'autre avec un site d'injection suremballée(s)/surpochée(s)";1950;"0";"352";NA;NA;NA;NA;NA;NA;"5000";2020-05-04;NA;NA;NA;NA;"MORPHINE";"Forme injectable";"10mg";1;"10mg/mL;100mL";1;1000;2000;1950;NA;3900000
2187971;"solution injectable";"CHLORHYDRATE DE MORPHINE";"LABORATOIRE RENAUDIN";"3400921879711";"66855092";"MORPHINE (CHLORHYDRATE) RENAUDIN 20 mg/ml, solution injectable";"1 poche(s) de 100 ml polypropylène polyoléfine à 2 tubes, l'un avec un Twist-off l'autre avec un site d'injection suremballée(s)/surpochée(s)";4068;"0";"2";NA;NA;NA;NA;NA;NA;"1000";2020-05-04;NA;NA;NA;NA;"MORPHINE";"Forme injectable";"20mg";1;"20mg/mL;100mL";1;2000;4000;4068;NA;16272000
2191197;"comprimé";"TELMISARTAN";"MYLAN";"3400921911978";"65259207";"TELMISARTAN MYLAN 40 mg, comprimé";"plaquette(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s)";71176;"3462";"13717.3333333333";NA;NA;NA;"0";"0";"0";"0";2020-04-23;NA;"61456";"0";NA;"TELMISARTAN";"Forme orale sèche";"40mg";30;"40mg";30;40;2;2135280;NA;4270560
2191197;"comprimé";"TELMISARTAN";"MYLAN";"3400921911978";"65259207";"TELMISARTAN MYLAN 40 mg, comprimé";"plaquette(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s)";67436;"1321";"13717.3333333333";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"61456";"0";NA;"TELMISARTAN";"Forme orale sèche";"40mg";30;"40mg";30;40;2;2023080;NA;4046160
2191228;"comprimé";"TELMISARTAN";"MYLAN";"3400921912289";"65259207";"TELMISARTAN MYLAN 40 mg, comprimé";"plaquette(s) polyamide aluminium PVC-Aluminium de 90 comprimé(s)";18343;"1120";"7434.08333333333";NA;NA;NA;"0";"0";"0";"17585";2020-04-23;NA;"17245";"0";NA;"TELMISARTAN";"Forme orale sèche";"40mg";90;"40mg";90;40;2;1650870;NA;3301740
2191228;"comprimé";"TELMISARTAN";"MYLAN";"3400921912289";"65259207";"TELMISARTAN MYLAN 40 mg, comprimé";"plaquette(s) polyamide aluminium PVC-Aluminium de 90 comprimé(s)";17351;"404";"7434.08333333333";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"34830";"0";NA;"TELMISARTAN";"Forme orale sèche";"40mg";90;"40mg";90;40;2;1561590;NA;3123180
2191352;"comprimé";"TELMISARTAN";"MYLAN";"3400921913521";"62260706";"TELMISARTAN MYLAN 80 mg, comprimé";"plaquette(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s)";53152;"2356";"6734.58333333333";NA;NA;NA;"0";"0";"0";"0";2020-04-23;NA;"0";"0";NA;"TELMISARTAN";"Forme orale sèche";"80mg";30;"80mg";30;80;4;1594560;NA;6378240
2191352;"comprimé";"TELMISARTAN";"MYLAN";"3400921913521";"62260706";"TELMISARTAN MYLAN 80 mg, comprimé";"plaquette(s) polyamide aluminium PVC-Aluminium de 30 comprimé(s)";50537;"1784";"6734.58333333333";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"TELMISARTAN";"Forme orale sèche";"80mg";30;"80mg";30;80;4;1516110;NA;6064440
2191398;"comprimé";"TELMISARTAN";"MYLAN";"3400921913989";"62260706";"TELMISARTAN MYLAN 80 mg, comprimé";"plaquette(s) polyamide aluminium PVC-Aluminium de 90 comprimé(s)";17890;"883";"4906.16666666667";NA;NA;NA;"0";"0";"0";"0";2020-04-23;NA;"23852";"0";NA;"TELMISARTAN";"Forme orale sèche";"80mg";90;"80mg";90;80;4;1610100;NA;6440400
2191398;"comprimé";"TELMISARTAN";"MYLAN";"3400921913989";"62260706";"TELMISARTAN MYLAN 80 mg, comprimé";"plaquette(s) polyamide aluminium PVC-Aluminium de 90 comprimé(s)";17373;"264";"4906.16666666667";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"23852";"0";NA;"TELMISARTAN";"Forme orale sèche";"80mg";90;"80mg";90;80;4;1563570;NA;6254280
2192452;"comprimé pelliculé";"TELMISARTAN";"EG LABO";"3400921924527";"69394106";"TELMISARTAN EG 40 mg, comprimé pelliculé";"plaquette(s) aluminium de 30 comprimé(s)";9714;"406";"3750";NA;NA;NA;NA;NA;NA;NA;2020-04-23;NA;NA;NA;NA;"TELMISARTAN";"Forme orale sèche";"40mg";30;"40mg";30;40;2;291420;NA;582840
2192452;"comprimé pelliculé";"TELMISARTAN";"EG LABO";"3400921924527";"69394106";"TELMISARTAN EG 40 mg, comprimé pelliculé";"plaquette(s) aluminium de 30 comprimé(s)";8951;"401";"3750";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"TELMISARTAN";"Forme orale sèche";"40mg";30;"40mg";30;40;2;268530;NA;537060
2192469;"comprimé pelliculé";"TELMISARTAN";"EG LABO";"3400921924695";"69394106";"TELMISARTAN EG 40 mg, comprimé pelliculé";"plaquette(s) aluminium de 90 comprimé(s)";5483;"254";"2250";NA;NA;NA;NA;NA;NA;"4100";2020-04-23;NA;NA;NA;NA;"TELMISARTAN";"Forme orale sèche";"40mg";90;"40mg";90;40;2;493470;NA;986940
2192469;"comprimé pelliculé";"TELMISARTAN";"EG LABO";"3400921924695";"69394106";"TELMISARTAN EG 40 mg, comprimé pelliculé";"plaquette(s) aluminium de 90 comprimé(s)";5365;"59";"2250";NA;NA;NA;NA;"0";"0";"4100";2020-05-04;NA;"0";"0";NA;"TELMISARTAN";"Forme orale sèche";"40mg";90;"40mg";90;40;2;482850;NA;965700
2192475;"comprimé pelliculé";"TELMISARTAN";"EG LABO";"3400921924756";"69536527";"TELMISARTAN EG 80 mg, comprimé pelliculé";"plaquette(s) aluminium de 30 comprimé(s)";0;"0";"2500";NA;NA;NA;NA;NA;NA;"9500";2020-04-23;NA;NA;NA;NA;"TELMISARTAN";"Forme orale sèche";"80mg";30;"80mg";30;80;4;0;NA;0
2192475;"comprimé pelliculé";"TELMISARTAN";"EG LABO";"3400921924756";"69536527";"TELMISARTAN EG 80 mg, comprimé pelliculé";"plaquette(s) aluminium de 30 comprimé(s)";1;"0";"2500";NA;NA;NA;NA;"0";"0";"9500";2020-05-04;NA;"0";"0";NA;"TELMISARTAN";"Forme orale sèche";"80mg";30;"80mg";30;80;4;30;NA;120
2192481;"comprimé pelliculé";"TELMISARTAN";"EG LABO";"3400921924817";"69536527";"TELMISARTAN EG 80 mg, comprimé pelliculé";"plaquette(s) aluminium de 90 comprimé(s)";0;"0";"600";NA;NA;NA;NA;NA;NA;"5000";2020-04-23;NA;NA;NA;NA;"TELMISARTAN";"Forme orale sèche";"80mg";90;"80mg";90;80;4;0;NA;0
2192481;"comprimé pelliculé";"TELMISARTAN";"EG LABO";"3400921924817";"69536527";"TELMISARTAN EG 80 mg, comprimé pelliculé";"plaquette(s) aluminium de 90 comprimé(s)";68;"0";"600";NA;NA;NA;NA;"0";"0";"5000";2020-05-04;NA;"0";"10000";NA;"TELMISARTAN";"Forme orale sèche";"80mg";90;"80mg";90;80;4;6120;NA;24480
2203210;"comprimé pelliculé";"GABAPENTINE";"SANDOZ";"3400922032108";"65216387";"GABAPENTINE SANDOZ 600 mg, comprimé pelliculé";"plaquette(s) PVC-Aluminium de 90 comprimé(s)";7920;"734";"1273";NA;NA;"0";"0";"0";"0";"0";2020-04-15;NA;"0";NA;NA;"GABAPENTINE";"Forme orale sèche";"600mg";90;"600mg";90;600;6;712800;NA;4276800
2203233;"comprimé pelliculé";"GABAPENTINE";"SANDOZ";"3400922032337";"60279775";"GABAPENTINE SANDOZ 800 mg, comprimé pélliculé";"plaquette(s) PVC-Aluminium de 90 comprimé(s)";212;"63";"682.5";NA;NA;"0";"0";"0";"0";"0";2020-04-15;NA;"0";NA;NA;"GABAPENTINE";"Forme orale sèche";"800mg";90;"800mg";90;800;8;19080;NA;152640
2206906;"poudre pour suspension buvable";"OSÉLTAMIVIR (PHOSPHATE D')";"ROCHE";"3400922069067";"64086275";"TAMIFLU 6 mg/ml, poudre pour suspension buvable";"1 flacon(s) en verre brun avec fermeture de sécurité enfant avec adaptateur avec seringue(s) pour administration orale avec gobelet(s) doseur(s)";12193;"96";"11600";NA;NA;NA;"0";"0";"0";"0";2020-04-23;NA;"0";"0";NA;"OSÉLTAMIVIR";"Forme buvable";"6mg/mL";1;"30mg";1;30;1;12193;NA;12193
2209282;"suspension pour inhalation par nébuliseur";"BUDÉSONIDE";"MYLAN";"3400922092829";"63163772";"BUDESONIDE MYLAN 0,50 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose";"20 récipient(s) unidose(s) polyéthylène basse densité (PEBD) de 2 ml";36154;"820";"5767.66666666667";NA;NA;NA;"0";"0";"0";"0";2020-04-23;NA;"0";"0";NA;"BUDÉSONIDE";"Forme inhalable";"0,5mg";20;"0,5mg";20;0.5;7.8125;723080;NA;5649062.5
2209282;"suspension pour inhalation par nébuliseur";"BUDÉSONIDE";"MYLAN";"3400922092829";"63163772";"BUDESONIDE MYLAN 0,50 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose";"20 récipient(s) unidose(s) polyéthylène basse densité (PEBD) de 2 ml";3896;"56";"451.416666666667";NA;NA;"0";"0";"0";"0";"0";2020-04-15;NA;"0";NA;NA;"BUDÉSONIDE";"Forme inhalable";"0,5mg";20;"0,5mg";20;0.5;7.8125;77920;NA;608750
2209282;"suspension pour inhalation par nébuliseur";"BUDESONIDE";"MYLAN";"3400922092829";"63163772";"BUDESONIDE MYLAN 0,50 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose";"20 récipient(s) unidose(s) polyéthylène basse densité (PEBD) de 2 ml";35271;"410";"5767.66666666667";NA;NA;NA;NA;"0";"0";"0";2020-05-04;NA;"0";"0";NA;"BUDÉSONIDE";"Forme inhalable";"0,5mg";20;"0,5mg";20;0.5;7.8125;705420;NA;5511093.75
